name,use,name_en,name_ch
A08.8,1,Other specified intestinal infections,其他特定腸道感染
A09,1,"Infectious gastroenteritis and colitis, unspecified",感染性胃腸炎及大腸炎
A15,0,Respiratory tuberculosis,呼吸道結核病
A15.0,1,Tuberculosis of lung,肺結核
A15.4,1,Tuberculosis of intrathoracic lymph nodes,胸腔內淋巴結結核
A15.5,1,"Tuberculosis of larynx, trachea and bronchus",喉、氣管及支氣管結核
A15.6,1,Tuberculous pleurisy,結核性肋膜炎
A15.7,1,Primary respiratory tuberculosis,原發性結核
A15.8,1,Other respiratory tuberculosis,其他呼吸道結核
A15.9,1,Respiratory tuberculosis unspecified,呼吸道結核病
A17,0,Tuberculosis of nervous system,神經系統結核病
A17.0,1,Tuberculous meningitis,結核性腦膜炎
A17.1,1,Meningeal tuberculoma,腦膜性結核瘤
A17.8,0,Other tuberculosis of nervous system,其他神經系統結核病
A17.81,1,Tuberculoma of brain and spinal cord,腦和脊髓之結核瘤
A17.82,1,Tuberculous meningoencephalitis,結核性腦膜腦炎
A17.83,1,Tuberculous neuritis,結核性神經炎
A17.89,1,Other tuberculosis of nervous system,其他神經系統結核病
A17.9,1,"Tuberculosis of nervous system, unspecified",神經系統結核病
A18,0,Tuberculosis of other organs,其他器官結核病
A18.0,0,Tuberculosis of bones and joints,骨骼及關節結核病
A18.01,1,Tuberculosis of spine,脊椎結核病
A18.02,1,Tuberculous arthritis of other joints,其他關節之結核性關節炎
A18.03,1,Tuberculosis of other bones,其他骨骼結核病
A18.09,1,Other musculoskeletal tuberculosis,其他肌肉骨骼結核病
A18.1,0,Tuberculosis of genitourinary system,生殖泌尿系統結核病
A18.10,1,"Tuberculosis of genitourinary system, unspecified",生殖泌尿系統結核
A18.11,1,Tuberculosis of kidney and ureter,腎和輸尿管結核
A18.12,1,Tuberculosis of bladder,膀胱結核
A18.13,1,Tuberculosis of other urinary organs,其他泌尿器官結核
A18.14,1,Tuberculosis of prostate,前列腺結核
A18.15,1,Tuberculosis of other male genital organs,其他男性生殖器官結核
A18.16,1,Tuberculosis of cervix,子宮頸結核
A18.17,1,Tuberculous female pelvic inflammatory disease,女性結核性骨盆腔炎性疾病
A18.18,1,Tuberculosis of other female genital organs,其他女性生殖器官結核
A18.2,1,Tuberculous peripheral lymphadenopathy,結核性周邊淋巴腺病變
A18.3,0,"Tuberculosis of intestines, peritoneum and mesenteric glands",腸道、腹膜及腸繫膜腺體結核病
A18.31,1,Tuberculous peritonitis,結核性腹膜炎
A18.32,1,Tuberculous enteritis,結核性腸炎
A18.39,1,Retroperitoneal tuberculosis,腹膜後結核病
A18.4,1,Tuberculosis of skin and subcutaneous tissue,皮膚及皮下組織之結核
A18.5,0,Tuberculosis of eye,眼結核病
A18.50,1,"Tuberculosis of eye, unspecified",眼結核
A18.51,1,Tuberculous episcleritis,結核性上鞏膜炎
A18.52,1,Tuberculous keratitis,結核性角膜炎
A18.53,1,Tuberculous chorioretinitis,結核性脈絡膜網膜炎
A18.54,1,Tuberculous iridocyclitis,結核性虹膜睫狀體炎
A18.59,1,Other tuberculosis of eye,其他眼結核
A18.6,1,Tuberculosis of (inner) (middle) ear,耳（內耳）（中耳）結核
A18.7,1,Tuberculosis of adrenal glands,腎上腺結核
A18.8,0,Tuberculosis of other specified organs,其他特定器官結核病
A18.81,1,Tuberculosis of thyroid gland,甲狀腺結核
A18.82,1,Tuberculosis of other endocrine glands,其他內分泌腺體結核
A18.83,1,"Tuberculosis of digestive tract organs, not elsewhere classified",消化道器官結核，他處未歸類者
A18.84,1,Tuberculosis of heart,心臟結核
A18.85,1,Tuberculosis of spleen,脾結核
A18.89,1,Tuberculosis of other sites,其他部位結核
A19,0,Miliary tuberculosis,粟粒性結核病
A19.0,1,Acute miliary tuberculosis of a single specified site,單一部位之急性粟粒性結核
A19.1,1,Acute miliary tuberculosis of multiple sites,多重(發)部位之急性粟粒性結核
A19.2,1,"Acute miliary tuberculosis, unspecified",急性粟粒狀結核
A19.8,1,Other miliary tuberculosis,其他粟粒狀結核
A19.9,1,"Miliary tuberculosis, unspecified",粟粒狀結核
A20,0,Plague,鼠疫
A20.0,1,Bubonic plague,腺鼠疫
A20.1,1,Cellulocutaneous plague,蜂窩組織皮膚性鼠疫
A20.2,1,Pneumonic plague,肺炎型鼠疫
A20.3,1,Plague meningitis,鼠疫腦膜炎
A20.7,1,Septicemic plague,敗血性鼠疫
A20.8,1,Other forms of plague,其他型鼠疫
A20.9,1,"Plague, unspecified",鼠疫
A21,0,Tularemia,兔熱病
A21.0,1,Ulceroglandular tularemia,潰瘍腺體型兔熱病
A21.1,1,Oculoglandular tularemia,眼腺體型兔熱病
A21.2,1,Pulmonary tularemia,肺型兔熱病
A21.3,1,Gastrointestinal tularemia,胃腸型兔熱病
A21.7,1,Generalized tularemia,廣泛性兔熱病
A21.8,1,Other forms of tularemia,其他型兔熱病
A21.9,1,"Tularemia, unspecified",兔熱病
A22,0,Anthrax,炭疽病
A22.0,1,Cutaneous anthrax,皮膚炭疽病
A22.1,1,Pulmonary anthrax,肺炭疽病
A22.2,1,Gastrointestinal anthrax,腸胃炭疽病
A22.7,1,Anthrax sepsis,炭疽性敗血症
A22.8,1,Other forms of anthrax,其他型炭疽病
A22.9,1,"Anthrax, unspecified",炭疽病
A23,0,Brucellosis,布魯士桿菌病
A23.0,1,Brucellosis due to Brucella melitensis,地中海型布魯士桿菌所致之布魯士桿菌病
A23.1,1,Brucellosis due to Brucella abortus,流產型布魯士桿菌所致之布魯士桿菌病
A23.2,1,Brucellosis due to Brucella suis,豚型布魯士桿菌所致病魯士桿菌病
A23.3,1,Brucellosis due to Brucella canis,犬型布魯士桿菌所致之布魯士桿菌病
A23.8,1,Other brucellosis,其他布魯士桿菌病
A23.9,1,"Brucellosis, unspecified",布魯士桿菌病
A24,0,Glanders and melioidosis,馬鼻疽及類鼻疽病
A24.0,1,Glanders,馬鼻疽
A24.1,1,Acute and fulminating melioidosis,急性及猛爆型類鼻疽病
A24.2,1,Subacute and chronic melioidosis,亞急性和慢性類鼻疽病
A24.3,1,Other melioidosis,其他類鼻疽病
A24.9,1,"Melioidosis, unspecified",類鼻疽病
A25,0,Rat-bite fevers,鼠咬熱
A25.0,1,Spirillosis,螺旋菌病
A25.1,1,Streptobacillosis,鏈桿菌病
A25.9,1,"Rat-bite fever, unspecified",鼠咬熱
A26,0,Erysipeloid,類丹毒
A26.0,1,Cutaneous erysipeloid,皮膚類丹毒
A26.7,1,Erysipelothrix sepsis,單毒絲狀菌敗血症
A26.8,1,Other forms of erysipeloid,其他型類丹毒
A26.9,1,"Erysipeloid, unspecified",類丹毒
A27,0,Leptospirosis,鉤端螺旋體病
A27.0,1,Leptospirosis icterohemorrhagica,黃疸出血性鉤端螺旋體病
A27.8,0,Other forms of leptospirosis,其他型鉤端螺旋體病
A27.81,1,Aseptic meningitis in leptospirosis,鉤端螺旋體引起之無菌性腦膜炎
A27.89,1,Other forms of leptospirosis,其他型細鉤端螺旋體病
A27.9,1,"Leptospirosis, unspecified",細鉤端螺旋體病
A28,0,"Other zoonotic bacterial diseases, not elsewhere classified",其他人畜共通細菌性傳染病，他處未歸類者
A28.0,1,Pasteurellosis,巴斯德桿菌病
A28.1,1,Cat-scratch disease,貓抓病
A28.2,1,Extraintestinal yersiniosis,腸道外耶希尼菌病
A28.8,1,"Other specified zoonotic bacterial diseases, not elsewhere classified",其他特定之細菌性人畜共通傳染病，他處未歸類者
A28.9,1,"Zoonotic bacterial disease, unspecified",人畜共通細菌性傳染病
A30,0,Leprosy [Hansen's disease],痲瘋 [漢生氏病]
A30.0,1,Indeterminate leprosy,未定型痲瘋(癩病)
A30.1,1,Tuberculoid leprosy,類結核型痲瘋(癩病)
A30.2,1,Borderline tuberculoid leprosy,邊緣性結核痲瘋(癩病)
A30.3,1,Borderline leprosy,邊際型痲瘋(癩病)
A30.4,1,Borderline lepromatous leprosy,邊際型癩瘤型痲瘋(癩病)
A30.5,1,Lepromatous leprosy,癩病瘤型痲瘋(癩病)
A30.8,1,Other forms of leprosy,其他型痲瘋(癩病)
A30.9,1,"Leprosy, unspecified",痲瘋(癩病)
A31,0,Infection due to other mycobacteria,其他分枝桿菌感染
A31.0,1,Pulmonary mycobacterial infection,肺分枝桿菌感染
A31.1,1,Cutaneous mycobacterial infection,皮膚分枝桿菌感染
A31.2,1,Disseminated mycobacterium avium-intracellulare complex (DMAC),擴散性禽-細胞內複合型分枝桿菌症
A31.8,1,Other mycobacterial infections,其他分枝桿菌感染
A31.9,1,"Mycobacterial infection, unspecified",分枝桿菌感染
A32,0,Listeriosis,李斯特菌病
A32.0,1,Cutaneous listeriosis,皮膚李斯特菌病
A32.1,0,Listerial meningitis and meningoencephalitis,李斯特菌性腦膜炎及腦膜腦炎
A32.11,1,Listerial meningitis,李斯特菌性腦膜炎
A32.12,1,Listerial meningoencephalitis,李司特菌性腦膜腦炎
A32.7,1,Listerial sepsis,李司特菌性敗血症
A32.8,0,Other forms of listeriosis,其他型李斯特菌
A32.81,1,Oculoglandular listeriosis,眼腺體性李司特菌病
A32.82,1,Listerial endocarditis,李司特菌性心內膜炎
A32.89,1,Other forms of listeriosis,其他型李司特菌病
A32.9,1,"Listeriosis, unspecified",李司特菌病
A33,1,Tetanus neonatorum,新生兒破傷風
A34,1,Obstetrical tetanus,產科破傷風
A35,1,Other tetanus,其他破傷風
A36,0,Diphtheria,白喉
A36.0,1,Pharyngeal diphtheria,咽白喉
A36.1,1,Nasopharyngeal diphtheria,鼻咽白喉
A36.2,1,Laryngeal diphtheria,喉部白喉
A36.3,1,Cutaneous diphtheria,皮膚白喉
A36.8,0,Other diphtheria,其他白喉
A36.81,1,Diphtheritic cardiomyopathy,白喉性心肌病變
A36.82,1,Diphtheritic radiculomyelitis,白喉性脊髓神經炎
A36.83,1,Diphtheritic polyneuritis,白喉性多發神經炎
A36.84,1,Diphtheritic tubulo-interstitial nephropathy,白喉性腎小管間質腎病變
A36.85,1,Diphtheritic cystitis,白喉性膀胱炎
A36.86,1,Diphtheritic conjunctivitis,白喉性結膜炎
A36.89,1,Other diphtheritic complications,白喉性其他併發症
A36.9,1,"Diphtheria, unspecified",白喉
A37,0,Whooping cough,百日咳
A37.0,0,Whooping cough due to Bordetella pertussis,百日咳球桿菌所致之百日咳
A37.00,1,Whooping cough due to Bordetella pertussis without pneumonia,百日咳球桿菌所致之百日咳未伴有肺炎
A37.01,1,Whooping cough due to Bordetella pertussis with pneumonia,百日咳球桿菌所致之百日咳伴有肺炎
A37.1,0,Whooping cough due to Bordetella parapertussis,副百日咳球桿菌所致之百日咳
A37.10,1,Whooping cough due to Bordetella parapertussis without pneumonia,副百日咳球桿菌所致之百日咳未伴有肺炎
A37.11,1,Whooping cough due to Bordetella parapertussis with pneumonia,副百日咳球桿菌所致之百日咳伴有肺炎
A37.8,0,Whooping cough due to other Bordetella species,其他球桿菌所致之百日咳
A37.80,1,Whooping cough due to other Bordetella species without pneumonia,其他博德氏桿菌所致之百日咳未伴有肺炎
A37.81,1,Whooping cough due to other Bordetella species with pneumonia,其他博德氏桿菌所致之百日咳伴有肺炎
A37.9,0,"Whooping cough, unspecified species",未明示病原體之百日咳
A37.90,1,"Whooping cough, unspecified species without pneumonia",未明示病原體之百日咳未伴有肺炎
A37.91,1,"Whooping cough, unspecified species with pneumonia",未明示病原體之百日咳伴有肺炎
A38,0,Scarlet fever,猩紅熱
A38.0,1,Scarlet fever with otitis media,猩紅熱伴有中耳炎
A38.1,1,Scarlet fever with myocarditis,猩紅熱伴有心肌炎
A38.8,1,Scarlet fever with other complications,猩紅熱伴有其他伴有發症
A38.9,1,"Scarlet fever, uncomplicated",猩紅熱，無併發症
A39,0,Meningococcal infection,腦膜炎球菌感染
A39.0,1,Meningococcal meningitis,腦膜炎球菌性腦膜炎
