name
台灣(中華民國)TAIWAN
美國UNITED STATES
越南VIETNAM
泰國THAILAND
印尼INDONESIA
菲律賓PHILIPPINES
香港HONG KONG
澳門MACAO
加拿大CANADA
中國大陸CHINA
日本JAPAN
其他國籍
